, , 1.6920
, 1.9241, 1.5013
1.8885, 1.7261, 1.3742
1.7314, 1.5827, 1.2853
1.6090, 1.4754, 1.2209
1.5122, 1.3932, 1.1727
1.4346, 1.3287, 1.1359
1.3717, 1.2773, 1.1071
1.3201, 1.2357, 
1.2773, 1.2016, 1.0656
1.2415, 1.1732, 1.0504
1.2112, 1.1494, 1.0378
1.1854, 1.1292, 1.0273
1.1633, 1.1118, 1.0183
1.1443, 1.0967, 1.0107
1.1276, 1.0836, 1.0041
1.1130, 1.0720, 
1.1001, 1.0616, 0.9934
1.0884, 1.0523, 0.9890
1.0776, 1.0439, 0.9851
1.0675, 1.0362, 0.9817

