1.6125, 1.6125, 1.6125, 1.6125, 1.6125, 1.6125
1.6109, 1.6108, 1.6106, 1.6103, 1.6097, 1.6077
1.6059, 1.6055, 1.6047, 1.6034, 1.6006, 1.5905
1.5972, 1.5961, 1.5942, 1.5908, 1.5827, 1.5456
1.5839, 1.5816, 1.5777, 1.5698, 1.5483, 1.4281
1.5647, 1.5603, 1.5523, 1.5342, 1.4776, 1.2732
1.5376, 1.5293, 1.5121, 1.4697, 1.3627, 1.1624
1.4996, 1.4820, 1.4437, 1.3702, 1.2533, 1.0927
1.4401, 1.4029, 1.3479, 1.2722, 1.1719, 1.0488
1.3458, 1.3092, 1.2600, 1.1957, 1.1143, 1.0206
1.2622, 1.2324, 1.1917, 1.1388, 1.0735, 
1.1980, 1.1736, 1.1401, 1.0966, 1.0443, 0.9895
1.1490, 1.1288, 1.1009, 1.0652, 1.0230, 0.9807
1.1112, 1.0934, 1.0710, 1.0414, 1.0073, 0.9745
1.0818, 1.0675, 1.0479, 1.0233, 0.9955, 0.9700
1.0587, 1.0464, 1.0298, 1.0092, 0.9864, 0.9665
1.0403, 1.0297, 1.0154,  , 0.9793, 0.9638
1.0255, 1.0162,  , 0.9891, 0.9737, 0.9617
1.0135, 1.0053, 0.9945, 0.9819, 0.9690, 0.9598
 , 0.9962, 0.9867, 0.9758, 0.9652, 0.9582
0.9952, 0.9885, 0.9800, 0.9706, 0.9618, 0.9566
0.9880, 0.9818, 0.9742, 0.9661, 0.9587, 0.9551
0.9815, 0.9756, 0.9689, 0.9619, 0.9559, 0.9535
0.9751, 0.9699, 0.9640, 0.9581, 0.9532, 0.9517
0.9689, 0.9645, 0.9737, 0.9545, 0.9505, 0.9497
0.9633, 0.9596, 0.9553, 0.9512, 0.9479, 0.9475
